Kunde;Kundename (SAP-Nr.);;Kundenprojekt;Umgebung;Status Installation;OK;Fehler;VM konfiguriert;Funktionen;ASSM-Ticket;VM-Hostname;VM-IP-Addresse;DB-SID;Erstellt;Erstellt von;Aktualisiert;Aktualisiert von;OUC-ID
6016 Wien (NonAMS);Österreichische Gesundheitskasse Mein Hanusch-Krankenhaus (3031308);153884645;ORBIS U/ Medication auf ENTW Umgebungen;6. Auswerte;in Planung;nein;DB: nicht gewählt;;;;lvbumaster01t;10.111.216.32;;2024.10;Kristin Dölz;2025.05;Stefan Kurztusch;92148808
6071 Klagenfurt Am Wörthersee (NonAMS);KABEG Management Betriebsgesellschaft Zentraler Rechnungseingang (3031448);46869314;ORBIS U Installation;1. Produktiv;Docker-Container installiert;ja;keine Fehler;2020.08;ORBIS Info4U,ORBIS Patientenkurve - PDF-Exportmanager (Business Continuity),ORBIS Speech Spracherkennung,ORBIS Touch ID,ORBIS U Frame Mobile,ORBIS U Krankengeschichte,ORBIS U Monitoring 4U,ORBIS U Patient Handout,ORBIS U Pflegemaßnahmen,ORBIS User Provisioning;;kluks021sv;10.114.53.11;KHV;2021.04;os_cmdb;2026.02;Jacquelin Schön;92148595
6071 Klagenfurt Am Wörthersee (NonAMS);KABEG Management Betriebsgesellschaft Zentraler Rechnungseingang (3031448);46869232;ORBIS U Installation;3. Test;Docker-Container installiert;ja;keine Fehler;2018.10;ORBIS Info4U,ORBIS Patientenkurve - PDF-Exportmanager (Business Continuity),ORBIS Speech Spracherkennung,ORBIS U Assessment Konfigurator,ORBIS U Frame Mobile,ORBIS U Krankengeschichte,ORBIS U PDF Server,ORBIS U Patient Handout,ORBIS U Pflegemaßnahmen,ORBIS U Zugangsmanagement,ORBIS User Provisioning;;kluks020sv;10.111.7.162;TEST1;2021.04;os_cmdb;2025.07;Peter Zupancic;92148595
6071 Klagenfurt Am Wörthersee (NonAMS);KABEG Management Betriebsgesellschaft Zentraler Rechnungseingang (3031448);46869267;ORBIS U Installation;4. Schulungs;Docker-Container installiert;ja;keine Fehler;2021.02;ORBIS Patientenkurve - PDF-Exportmanager (Business Continuity),ORBIS U Assessment Konfigurator,ORBIS U Frame Mobile,ORBIS U Krankengeschichte,ORBIS U Pflegemaßnahmen,ORBIS User Provisioning;;kluks018sv;10.111.7.160;SCHUL22;2021.04;os_cmdb;2026.03;Jacquelin Schön;92148595
6071 Klagenfurt Am Wörthersee (NonAMS);KABEG Management Betriebsgesellschaft Zentraler Rechnungseingang (3031448);88467963;ORBIS U Installation;5. Entwicklungs;Docker-Container installiert;ja;keine Fehler;;ORBIS Info4U,ORBIS Patientenkurve - PDF-Exportmanager (Business Continuity),ORBIS Speech Spracherkennung,ORBIS U Allergies,ORBIS U Assessment Konfigurator,ORBIS U Frame Mobile,ORBIS U Krankengeschichte,ORBIS U Patient Handout,ORBIS U Pflegemaßnahmen,ORBIS User Provisioning;;kluks003sv;10.111.7.161;ENTW;2021.12;Kristin Dölz;2026.02;Jacquelin Schön;92148595
6071 Klagenfurt Am Wörthersee (NonAMS);KABEG Management Betriebsgesellschaft Zentraler Rechnungseingang (3031448);142551658;ORBIS U auf DEV, Docker analog KHV;5. Entwicklungs;Docker-Container installiert;ja;keine Fehler;;ORBIS Patientenkurve - PDF-Exportmanager (Business Continuity),ORBIS U Assessment Konfigurator,ORBIS U Frame Mobile,ORBIS U Krankengeschichte,ORBIS U PDF Server,ORBIS U Pflege Assessments,ORBIS U Pflege Care Cycle,ORBIS U Pflegemaßnahmen;;kluks017sv;10.111.7.137;DEV;2024.03;Henrik Schütz;2026.03;Jacquelin Schön;92148595
6072 Wien (NonAMS);Mavie Med Holding GmbH (3031303);182061975;neue ORBIS-Umgebung;5. Entwicklungs;VM bereitgestellt;nein;VM: Hosted On fehlt;;;;orbis-devu;10.199.24.20;DEV;2026.03;Kristin Dölz;2026.03;Kristin Dölz;182061974
6244 Herisau (AMS);Spitalverbund Appenzell Ausserrhoden (3030553);124646545;Aufnahme ORBIS U VMs in Monitoring;1. Produktiv;Docker-Container installiert;ja;keine Fehler;;ORBIS Patientenkurve - PDF-Exportmanager (Business Continuity),ORBIS U Monitoring 4U;;heovsap0084;10.22.136.177;KHV;2023.01;Daniel Jänke;2025.12;Henrik Schütz;92148880
6244 Herisau (AMS);Spitalverbund Appenzell Ausserrhoden (3030553);124646543;Aufnahme ORBIS U VMs in Monitoring;3. Test;Docker-Container installiert;ja;keine Fehler;;ORBIS Patientenkurve - PDF-Exportmanager (Business Continuity);;heovsap0083;10.22.136.176;TEST;2023.01;Daniel Jänke;2025.12;Henrik Schütz;92148880
6253 Chur (AMS);Psychiatrische Dienste Graubünden (3030552);124058749;ORBIS U Installationen;1. Produktiv;Docker-Container installiert;ja;keine Fehler;;ORBIS Info4U,ORBIS Patientenkurve - PDF-Exportmanager (Business Continuity),ORBIS U Monitoring 4U,ORBIS U Pflege Assessments,ORBIS U Pflege Care Cycle,ORBIS U Pflegemaßnahmen,ORBIS U Wundmanagement,ORBIS User Provisioning;"<a target=""_blank"" href=""https://agfa.service-now.com/textsearch.do?sysparm_search=INT0039642"">INT0039642</a>";svr700010100;10.96.10.10;PDGP;2022.08;Kristin Dölz;2026.02;Henrik Schütz;119599318
