Kategorie;Funktion;Produkt;Kurzbeschreibung;Synonyme;Beschreibung;ORBIS U Technologie?;ORBIS U Spezifkation;Orbis U Docker Compose;Service Names;OAS Technologie?;OAS Spezifikation;JAIF Technologie?;ORBIS Mobile Technologie?;Bemerkung;Notwendige Drittprodukte;Produkt Ansprechpartner;Applikations-Support Dedalus;Technische Spezifikation;Kurzfunktions-beschreibung;AMS SIP RfC;Lizenz;Released for Sale;Released for Delivery;PL-Leitfaden;ORBIS Roadmap;History;Geändert am
ORBIS;ORBIS U Pflegemaßnahmen;Pflege;;"Nursing Intervention, Pflegedoku, 
ORBIS Pflegemaßnahmen-Liste
ORBIS U Pflegeplanung (Nursing Planning) als Subfunktion";"Die Funktion ORBIS U Pflege – Pflegemaßnahmen ermöglicht den Pflegekräften zum Patientenfall Maßnahmen zu planen oder „ad hoc“ zu dokumentieren. 
Der ärztliche Dienst kann für einen Patienten Pflegemaßnahmen verordnen (per Funktion CPOE Nursing).";Ja;orbis-4u/ CustInst.: Nein<br>interventions/ CustInst.: Nein;docker-compose-interventions.yml;interventions/ CustInst.: Nein<br>orbis-4u/ CustInst.: Nein;Nein;single-without-medication-batch;Nein;Nein;Einbettung in ORBIS U Frame möglich (optional).;;Simone Schneider, Michael Reiter;Nein;"<a href=""https://livelink.agfa.net/Livelink/livelink.exe?func=ll&objaction=overview&objid=68718746"""" target=""_blank"">68718746 </a>";"<a href=""https://livelink.agfa.net/Livelink/livelink.exe?func=ll&objaction=overview&objid=76071833"""" target=""_blank"">76071833 </a>";20181010-0002-00506420190329-00000002-0000108;NURSINT (9431);Ja;Ja;Ja;Ja;"<a href=""javascript:apex.theme42.dialog('\u002Fords\u002Fr\u002Fcmdb\u002Fpmone\u002Fhistorie?p18_id=1392125\u0026session=14068159173354\u0026cs=31y6Pf8VnJBQiM9szRx7MZ9aXRYvyOlY_IB0Bmc_TATsofNfVI8tgApIuU5MR9r6SwXs8yNYxd9TBgmGG_C5zqQ\u0026dialogCs=gLb97jFq4Asj5UZI3-lY8CwCesHQyB-RWhjJV1aqnI41RNPh7ROQpDtu1bGF5RlXXqR-mb-aBweJtBgnvQF8gw',{title:'Historie',h:'auto',w:'720',mxw:'960',modal:true,dialog:null,dlgCls:'t-Dialog-page--standard '+''},'','#R1_PRODUCTS')""><i class=""fa fa-archive""></i></a>";03.03.2026 12:51
ORBIS;ORBIS Unit Dose Automat Schnittstelle;Medication;UNITDOSE_IF;Baxter FDS II Proud, JVM, Willach, UDR, Unit Dose Robot, Dispensing, Reorder;"Die ORBIS Unit Dose Schnittstelle unterstützt den Austausch von Packauftragsdaten zwischen ORBIS
Medication (Apothekenarbeitsplatz + Nachbestellungsverwaltung + Kommissionierungsliste) und Unit Dose Automaten nach abgestimmtem Format. Es erfolgt die Rückkomunikation vom Automaten gestellen Medikationsgaben.
Freigabe aktuell für: Baxter Automat";Ja;iris-4u/ CustInst.: Nein<br>iris/ CustInst.: Nein;docker-compose-iris.yml;iris-4u/ CustInst.: Nein<br>iris/ CustInst.: Nein;Ja;orbis connectivity server;Ja;Nein;"IRIS und IRIS4U Container, sowie ""Connectivity OAS"" benötigt!
Kombination mit einer MAWI Schnittstelle. ORBIS Medication Installation erforderlich.
JAIF erforderlich (Datenaustausch UnitDose Automat - ORBIS)
-> technische Schnittstelle zu UnitDose Automat von Baxter vorhanden

Nur in Kombination mit ""ORBIS_Medication_Schnittstelle_Unit_Dose_Automat""
-> eigene Lizenz (ORME_REORDER, ORME_PHARM_VALID, ORME_DISP)";;Michael Anton;Nein;;"<a href=""https://dedalus.interfacing.com/documents/details/EA06BDF1-B7E3-4530-9E3D-AC15B222EF1B?nodeType=DOCUMENT"""" target=""_blank"">EA06BDF1-B7E3-4530-9E3D-AC15B222EF1B </a>";Kein RfC;UNITDOSE_IF 7153;Ja;Ja;Ja;Ja;"<a href=""javascript:apex.theme42.dialog('\u002Fords\u002Fr\u002Fcmdb\u002Fpmone\u002Fhistorie?p18_id=1392129\u0026session=14068159173354\u0026cs=312Veb9lcaJusLAuMTYllxh1J9FFRXcthF6c3TJrWD33Q5WPjxAPPKvoREKR9uWuTzz1BvmTRZt6fFOR7kGDCgA\u0026dialogCs=gLb97jFq4Asj5UZI3-lY8CwCesHQyB-RWhjJV1aqnI41RNPh7ROQpDtu1bGF5RlXXqR-mb-aBweJtBgnvQF8gw',{title:'Historie',h:'auto',w:'720',mxw:'960',modal:true,dialog:null,dlgCls:'t-Dialog-page--standard '+''},'','#R1_PRODUCTS')""><i class=""fa fa-archive""></i></a>";03.03.2026 12:43
ORBIS;TARDOC Validator;Billing;;TARMED Validator (alter Name);Nur für CH: Die Tarifstruktur TARMED dient der Abrechnung von ambulanten ärztlichen Leistungen in Arztpraxen und Spitälern mit einem Einzelleistungstarif und ist vom Bund vorgegeben. Mit dem Tarmed Validator kann überprüft werden, ob die Tarmed-Regeln eingehalten resp. validiert werden.;Nein;;;;Nein;	Standard;Nein;Nein;"Der OAS wird aber für die Verwendung von STRL-NG benötigt und STRL-NG ist aktuell das einzige ORBIS-Modul, dass mit dem TARMED-Validator arbeiten kann. Ggf. wird es zukünftig dafür einen eigenen dedizierten OAS geben, der dann ""ssr"" heißen soll (Zeitpunkt unklar)";;Ralf Pagel;Nein;;"<a href=""https://dedalus.interfacing.com/documents/details/https://dedalus.interfacing.com/documents/details/3253D0BF-DF00-4019-B817-4508B0A65D9B?nodeType=DOCU?nodeType=DOCUMENT"""" target=""_blank"">https://dedalus.interfacing.com/documents/details/3253D0BF-DF00-4019-B817-4508B0A65D9B?nodeType=DOCU </a>";Kein RfC;5401, VALIDATOR_CH;Nein;Nein;;Nein;"<a href=""javascript:apex.theme42.dialog('\u002Fords\u002Fr\u002Fcmdb\u002Fpmone\u002Fhistorie?p18_id=1392139\u0026session=14068159173354\u0026cs=3SjUBTl1VvQnd-AeUNNNXUAHMbqOJbgItrteqr0ouE8DFtX3pzTW1yDh5Y3G05LX3Td_UBnr2IsM3I43RpJZ-og\u0026dialogCs=gLb97jFq4Asj5UZI3-lY8CwCesHQyB-RWhjJV1aqnI41RNPh7ROQpDtu1bGF5RlXXqR-mb-aBweJtBgnvQF8gw',{title:'Historie',h:'auto',w:'720',mxw:'960',modal:true,dialog:null,dlgCls:'t-Dialog-page--standard '+''},'','#R1_PRODUCTS')""><i class=""fa fa-archive""></i></a>";27.02.2026 13:45
ORBIS;ORBIS U Stationsansicht (Unit View);Unit View;;UV, Stationsansicht, unitview;Bietet vorkonfigurierbare patientenübergreifende Ansichten, um räumliche und logische Elemente der Einrichtung darzustellen (Normalstation, ICU Portal, Anästhesieportal, Ambulanzansicht).;Nein;;;;Ja;single-without-medication-batch;Nein;Nein;HTML5 Anwendung. Migration von OAS auf ORBIS U geplant,  Nachfolger der Stationsgrafik;;Orlanne Fleury, Mikael Boitet;Nein;;"<a href=""https://dedalus.interfacing.com/documents/details/87A48343-D505-4C74-9560-C8556BD38ECA?nodeType=DOCUMENT"""" target=""_blank"">87A48343-D505-4C74-9560-C8556BD38ECA </a>";Kein RfC;Unit View 8451;Ja;Ja;;Ja;"<a href=""javascript:apex.theme42.dialog('\u002Fords\u002Fr\u002Fcmdb\u002Fpmone\u002Fhistorie?p18_id=1392140\u0026session=14068159173354\u0026cs=34HWn8DA8MXH1ZEidY2UBxPl096MmxqzbvDZzDcUn6beDTqaxBpVAkVkaACm1m2TqHCq5lUW_sxNnQjGnBJmB1w\u0026dialogCs=gLb97jFq4Asj5UZI3-lY8CwCesHQyB-RWhjJV1aqnI41RNPh7ROQpDtu1bGF5RlXXqR-mb-aBweJtBgnvQF8gw',{title:'Historie',h:'auto',w:'720',mxw:'960',modal:true,dialog:null,dlgCls:'t-Dialog-page--standard '+''},'','#R1_PRODUCTS')""><i class=""fa fa-archive""></i></a>";03.03.2026 03:15
ORBIS;ICU Weaning Protocol;ICU-Manager;;Dokumentation Entwöhnung Patient von Beatmung;Das ORBIS ICU Weaning Protocol erkennt automatisch anhand aktueller klinischer Parameter und Leitlinienkriterien die mögliche Bereitschaft zur Beatmungsentwöhnung, informiert das Behandlungsteam stationsweit per Alert und unterstützt die leitlinienkonforme Dokumentation sowie fundierte klinische Entscheidungen im gesamten Weaning-Prozess.;Ja;orbis-4u/ CustInst.: Nein<br>udoc-configurator/ CustInst.: Nein<br>assessments/ CustInst.: Nein<br>pdf-server/ CustInst.: Nein;docker-compose-nursing.yml;assessments/ CustInst.: Nein<br>orbis-4u/ CustInst.: Nein<br>pdf-server/ CustInst.: Nein<br>udoc-configurator/ CustInst.: Nein;Ja;single-without-medication-batch;Nein;Nein;;;Hans Thumeyer;Nein;;"<a href=""https://dedalus.interfacing.com/documents/details/C58C0DD6-0F85-4203-89E7-8BECD0D8FEA0?nodeType=DOCUMENT"""" target=""_blank"">C58C0DD6-0F85-4203-89E7-8BECD0D8FEA0 </a>";Kein RfC;;Ja;Ja;;Ja;"<a href=""javascript:apex.theme42.dialog('\u002Fords\u002Fr\u002Fcmdb\u002Fpmone\u002Fhistorie?p18_id=1392141\u0026session=14068159173354\u0026cs=3mmmTkG7C_nmjh5TOQxVX3J7M5hFGTDeRnQ2ucMmn3PXCXCTl1nDzlh0vc9xVaR6bUng-UJU4L-vk6BQ7cBDFsg\u0026dialogCs=gLb97jFq4Asj5UZI3-lY8CwCesHQyB-RWhjJV1aqnI41RNPh7ROQpDtu1bGF5RlXXqR-mb-aBweJtBgnvQF8gw',{title:'Historie',h:'auto',w:'720',mxw:'960',modal:true,dialog:null,dlgCls:'t-Dialog-page--standard '+''},'','#R1_PRODUCTS')""><i class=""fa fa-archive""></i></a>";03.03.2026 11:15
DIIT;SmartReporting;;;;;Nein;;;;Ja;single-without-medication-batch;Nein;Nein;;Drittprodukt SmartRadiology;Marcus Muth;Nein;;;20180313-0002-004724;;;Nein;;;;02.10.2023 11:45
ORBIS;ORBIS CPOE;CPOE;;CPOE (Computerized Physician Order Entry);"ORBIS CPOE verwaltet klinische Anforderungen und Befunde aus verschiedenen medizinischen Bereichen über eine einheitliche Benutzeroberfläche.
Es unterstützt einen interdisziplinären Ansatz, indem es den Zugriff auf und die Bearbeitung von Aufträgen aller Art ermöglicht. 
Folgende Domänen sind verfügbar:
- Radiologie (ORBIS RIS)
- Allgemeine Anordnungen (ORBIS LSTM)
- Pflege (Nursing U)
- Medkation (ORBIS Medication)
- Labor („ORBIS LAWP"")
- Anwendungen von Drittanbietern (SSST)";Ja;u-cpoe/ CustInst.: Nein<br>orbis-4-u-cpoe/ CustInst.: Nein;docker-compose-u-cpoe.yml;u-cpoe/ CustInst.: Nein<br>orbis-4-u-cpoe/ CustInst.: Nein;Ja;	Standard;Nein;Nein;;HL7 SSST Schnittstellen (optional);;Nein;;"<a href=""https://dedalus.interfacing.com/documents/details/CEAACC35-164A-4C23-A0F0-9B3B9E973804?nodeType=DOCUMENT"""" target=""_blank"">CEAACC35-164A-4C23-A0F0-9B3B9E973804 </a>";;"o Functional departments: CPOE_GENERAL (CPOE General Domain - 9443)
o Lab: CPOE_LAB (CPOE Laboratory Domain - 9445)
o Medication: CPOE_MEDICATION (CPOE Medication Domain - 9447)
o Nursing: CPOE_Nursing (CPOE Nurse Care Domain - 9421)
o Radiology: CPOE_RAD (CPOE Radiology Domain - 9441)
Functional Brief - CPOE – 84.43.00
Record ID: DOC-4089381
Company Confidential
Printed copies are not controlled and shall be verified on the electronic document management system. 2 / 5
o 3rdparty applications: CPOE_EXTERNAL (CPOE External Domain - 9448)";Nein;Nein;;Ja;"<a href=""javascript:apex.theme42.dialog('\u002Fords\u002Fr\u002Fcmdb\u002Fpmone\u002Fhistorie?p18_id=1501605\u0026session=14068159173354\u0026cs=3r2jTejZf5XgfnnA8HXVTtV08-RI0lph3orbTcU04wAglTsBBSYgaLCvZfJufsCbPSiJLPNyy2EKM9AhfPO_4zQ\u0026dialogCs=gLb97jFq4Asj5UZI3-lY8CwCesHQyB-RWhjJV1aqnI41RNPh7ROQpDtu1bGF5RlXXqR-mb-aBweJtBgnvQF8gw',{title:'Historie',h:'auto',w:'720',mxw:'960',modal:true,dialog:null,dlgCls:'t-Dialog-page--standard '+''},'','#R1_PRODUCTS')""><i class=""fa fa-archive""></i></a>";03.03.2026 10:45
ORBIS;SOP-basierte Medikamentengabe;Medication;;Patient Groups Directions (PGD);Die SOP-basierte Medikamentengabe bietet den Anwendern von ORBIS Medication die Möglichkeit, aus vordefinierten Hauslisten Medikamente zu verabreichen, ohne dass vorher eine Verordnung durch den ärztlichen Dienst vorliegen muss. Die Verabreichungsoption ist direkt aus der ORBIS Patientenkurve aufrufbar.;Nein;;;;Ja;single-without-medication-batch;Nein;Nein;;;Martin Schmidt, Phlippe Klein;Nein;;"<a href=""https://dedalus.interfacing.com/documents/details/C3E6EA18-7E69-402F-8A85-B7D7BF9C5E2A?nodeType=DOCUMENT"""" target=""_blank"">C3E6EA18-7E69-402F-8A85-B7D7BF9C5E2A </a>";;ORME_PGD: ORBIS Medication - Patient Group Directions (60203);Ja;Ja;;Ja;"<a href=""javascript:apex.theme42.dialog('\u002Fords\u002Fr\u002Fcmdb\u002Fpmone\u002Fhistorie?p18_id=1735735\u0026session=14068159173354\u0026cs=3_zH02eaeEur2iI1jCB341350muDJxuEhE3VeaNcuAAxmtnVU_ZsnbgyojxVTFquCgsOy7eOrs_l6fpjsxhdYEw\u0026dialogCs=gLb97jFq4Asj5UZI3-lY8CwCesHQyB-RWhjJV1aqnI41RNPh7ROQpDtu1bGF5RlXXqR-mb-aBweJtBgnvQF8gw',{title:'Historie',h:'auto',w:'720',mxw:'960',modal:true,dialog:null,dlgCls:'t-Dialog-page--standard '+''},'','#R1_PRODUCTS')""><i class=""fa fa-archive""></i></a>";03.03.2026 11:05
ORBIS;Evacuation Manager;Unit View;ORBIS U UnitView - Evakuierung;;"In der Stationsansicht wird der Evacuation Manager angezeigt, um den Evakuierungsstatus von Patienten auf einer zu
evakuierenden Station nachzuverfolgen und zu dokumentieren.";Nein;;;;Ja;single-without-medication-batch;Nein;Nein;Unterfunktion von ORBIS U UnitView;;;Nein;;;;EVACUATIONMANAGER: Evacuation manager (60223);Ja;Nein;;Nein;"<a href=""javascript:apex.theme42.dialog('\u002Fords\u002Fr\u002Fcmdb\u002Fpmone\u002Fhistorie?p18_id=1780626\u0026session=14068159173354\u0026cs=3OaR2kGFBiDtFs7h56z4Wflm6_13ZFBBlKuhkVTpJJ8OUB38HlKVa_i2Rnil9sAfN_nm1kGf0HqshtoxQPKvpUw\u0026dialogCs=gLb97jFq4Asj5UZI3-lY8CwCesHQyB-RWhjJV1aqnI41RNPh7ROQpDtu1bGF5RlXXqR-mb-aBweJtBgnvQF8gw',{title:'Historie',h:'auto',w:'720',mxw:'960',modal:true,dialog:null,dlgCls:'t-Dialog-page--standard '+''},'','#R1_PRODUCTS')""><i class=""fa fa-archive""></i></a>";03.03.2026 04:38
ORBIS;ORBIS eArztbrief;TI;eArztbrief;;;Nein;;;;Nein;;Nein;Nein;Nutzt KIM und Telematik Infrastruktur.;KIM;Lars Freund;Nein;"<a href=""https://livelink.agfa.net/Livelink/livelink.exe?func=ll&objaction=overview&objid=69836974"""" target=""_blank"">69836974 </a>";;20190725-0000002-0000422;eArztbrief (KIM) [60027];Nein;Nein;;Nein;"<a href=""javascript:apex.theme42.dialog('\u002Fords\u002Fr\u002Fcmdb\u002Fpmone\u002Fhistorie?p18_id=1392087\u0026session=14068159173354\u0026cs=3JW5JqFhNbi_J6d8h_iXrW921p5YhBTtFLIeDgLX4xh8daO18iVs1LgIlAQ8kl3Y__POy-Z3JRckuKubclAxmWw\u0026dialogCs=gLb97jFq4Asj5UZI3-lY8CwCesHQyB-RWhjJV1aqnI41RNPh7ROQpDtu1bGF5RlXXqR-mb-aBweJtBgnvQF8gw',{title:'Historie',h:'auto',w:'720',mxw:'960',modal:true,dialog:null,dlgCls:'t-Dialog-page--standard '+''},'','#R1_PRODUCTS')""><i class=""fa fa-archive""></i></a>";24.02.2026 10:54
ORBIS;ClamAV;ClamAV;ClamAV  (ClamAV® is an open-source antivirus);ClamAV;ClamAV  (ClamAV® is an open-source antivirus engine for detecting trojans, viruses, malware & other malicious threats.;Ja;clamav/ CustInst.: Nein;docker-compose-clamav.yml;clamav/ CustInst.: Nein;Nein;;Nein;Nein;"Container ""clamav"" - docker-compose-clamav.yml Siehe: https://confluence.dedalus.com/pages/viewpage.action?spaceKey=Architecture&title=Antivirus+scanner+in+ORBIS+U";;;Nein;;;;;;Nein;;;"<a href=""javascript:apex.theme42.dialog('\u002Fords\u002Fr\u002Fcmdb\u002Fpmone\u002Fhistorie?p18_id=1557284\u0026session=14068159173354\u0026cs=3R3ud-MHzjb4dFKqD5dH5cUjZ_Brg65cG8LRL88v0lyUDoO-xUZ1Oc7tovOWeqm8G9BW1UGgLsrlWul3aHDXxgQ\u0026dialogCs=gLb97jFq4Asj5UZI3-lY8CwCesHQyB-RWhjJV1aqnI41RNPh7ROQpDtu1bGF5RlXXqR-mb-aBweJtBgnvQF8gw',{title:'Historie',h:'auto',w:'720',mxw:'960',modal:true,dialog:null,dlgCls:'t-Dialog-page--standard '+''},'','#R1_PRODUCTS')""><i class=""fa fa-archive""></i></a>";16.12.2024 16:28
ORBIS;ORBIS Endoskopie nach DGVS;;ENDO DGVS;;DGVS Terminologie;Nein;;;;Nein;;Nein;Nein;;;;;N/A;;Kein RfC;;;;;;;03.12.2021 13:22
ORBIS;ORBIS Kerberos SSO;;;SSO Kerberos for Orbis;Single Sign On über Kerberos;Ja;orbis-auth/ CustInst.: Nein;;;Nein;;Nein;Nein;;;;Nein;;;;KERBEROS_SSO (600023);;Nein;;;;24.11.2023 16:02
ORBIS;ORBIS U Wundmanagement;Pflege;;"Wound Management, ORBIS Wundmanagement -> Teil der ""LocatedCare"" (ab 8.4.35 SU1)";Entsprechend eines festgelegten Wundtyps kann eine Wunddokumentation erfolgen und entsprechende Pflegemaßnahmen abgeleitet werden (per Funktion ORBIS Nursing Pflegemaßnahmen). Die Wunddokumentation kann einschließlich der Bilderfassung vollständig mobil erfolgen (per Funktion ORBIS Mobile Foundation).;Ja;orbis-4u/ CustInst.: Nein<br>udoc-configurator/ CustInst.: Nein<br>assessments/ CustInst.: Nein<br>pdf-server/ CustInst.: Nein<br>locatedcare/ CustInst.: Nein<br>pdf-renderer/ CustInst.: Nein<br>print-template-editor/ CustInst.: Nein;docker-compose-locatedcare.yml;;Nein;;Nein;Nein;"ab 8.4.35 SU1 nach LocatedCare migriert (neue Container!)
Druckapplikation PDF Renderer und Print Template stehen ab 080443.02 zur Verfügung";;Thomas Rechede, Simone Schneider;Nein;;"<a href=""https://livelink.agfa.net/Livelink/livelink.exe?func=ll&objaction=overview&objid=76100093"""" target=""_blank"">76100093 </a>";Kein RfC;"WOUND (3460)
TEMPLATE_EDITOR(60187)";Ja;Ja;Ja;Ja;"<a href=""javascript:apex.theme42.dialog('\u002Fords\u002Fr\u002Fcmdb\u002Fpmone\u002Fhistorie?p18_id=1392133\u0026session=14068159173354\u0026cs=3HMLhqYGgRNaIiOd-uVnHsvRc6D2ONlhWZm8U5ha1q7rh-XHbe9YIIrQWvwC85Cik-QwKCp2gvlvgiokAtF3Zhg\u0026dialogCs=gLb97jFq4Asj5UZI3-lY8CwCesHQyB-RWhjJV1aqnI41RNPh7ROQpDtu1bGF5RlXXqR-mb-aBweJtBgnvQF8gw',{title:'Historie',h:'auto',w:'720',mxw:'960',modal:true,dialog:null,dlgCls:'t-Dialog-page--standard '+''},'','#R1_PRODUCTS')""><i class=""fa fa-archive""></i></a>";24.02.2026 11:01
ORBIS;ORBIS U SAP CO Interface;Technische Komponente;;"cointerface
cost interface";SAP Schnittstelle Kostenträgerrechnung;Ja;orbis-cointerface/ CustInst.: Nein;docker-compose-orbis-cointerface.yml;orbis-cointerface/ CustInst.: Nein;Nein;;Nein;Nein;;;;Nein;;;;;Nein;Nein;;Nein;"<a href=""javascript:apex.theme42.dialog('\u002Fords\u002Fr\u002Fcmdb\u002Fpmone\u002Fhistorie?p18_id=1191727\u0026session=14068159173354\u0026cs=3zzmEKEbaDYopgjGcuIk34kG1WNj1PCm9fgg0_x-AjO8JAndxNOOol4Y2zYZ4C_AG1tIUWNjvS4jztTSQa4NrVw\u0026dialogCs=gLb97jFq4Asj5UZI3-lY8CwCesHQyB-RWhjJV1aqnI41RNPh7ROQpDtu1bGF5RlXXqR-mb-aBweJtBgnvQF8gw',{title:'Historie',h:'auto',w:'720',mxw:'960',modal:true,dialog:null,dlgCls:'t-Dialog-page--standard '+''},'','#R1_PRODUCTS')""><i class=""fa fa-archive""></i></a>";03.03.2026 03:59
DIIT;Atrium RIS;;Penta Carw;;;Nein;;;;Nein;;Nein;Nein;;;;Ja;;;Kein RfC;;;;;;;07.12.2021 09:45
ORBIS;DEMIS Arztmeldung;AddOn;DEMIS_AM;AddOn;zur kontinuierlichen, täglichen Meldung der belegten Betten an das Deutsche Elektronische Melde- und Informationssystem für den Infektionsschutz (DEMIS).;Ja;belmel/ CustInst.: Nein;docker-compose-belmel.yml;;Nein;;Nein;Nein;belmel Container des ORBIS AddOn Teams (Guido Becker);;Christian Poplutz, Guido Becker;Nein;;;;DEMIS_AM: DEMIS Arztmeldung (60098);Ja;Ja;;Nein;"<a href=""javascript:apex.theme42.dialog('\u002Fords\u002Fr\u002Fcmdb\u002Fpmone\u002Fhistorie?p18_id=1257108\u0026session=14068159173354\u0026cs=3ufghwNC8GfHMQJcHQ0DpGoU98RKmNjqE9Tf3Dq2KeKoxcI_CPa0YYTjk74hnT27uZYeTpb0KPEWkE5-uFLYsng\u0026dialogCs=gLb97jFq4Asj5UZI3-lY8CwCesHQyB-RWhjJV1aqnI41RNPh7ROQpDtu1bGF5RlXXqR-mb-aBweJtBgnvQF8gw',{title:'Historie',h:'auto',w:'720',mxw:'960',modal:true,dialog:null,dlgCls:'t-Dialog-page--standard '+''},'','#R1_PRODUCTS')""><i class=""fa fa-archive""></i></a>";03.03.2026 11:46
ORBIS;ORBIS U Assessment Konfigurator;Composer;"Compose4U, EPA (""ergebnisorientiertes PflegeAssessment"")";"Assessment Configurator, ORBIS generic assessment creator
, Assessment Generator (Udoc-Configurator), Composer, Generator";Ermöglicht die Erstellung kundenspezifischer ORBIS U Formulare (Assessments) mit definierten Standardkomponenten.;Ja;orbis-4u/ CustInst.: Nein<br>udoc-configurator/ CustInst.: Nein<br>assessments/ CustInst.: Nein<br>pdf-server/ CustInst.: Nein;docker-compose-nursing.yml;;Nein;;Nein;Nein;Basisausgabe des UDOC U Composer;;Jean Michel Mially (FR);Nein;"<a href=""https://livelink.agfa.net/Livelink/livelink.exe?func=ll&objaction=overview&objid=73081360"""" target=""_blank"">73081360 </a>";"<a href=""https://livelink.agfa.net/Livelink/livelink.exe?func=ll&objaction=overview&objid=76070831"""" target=""_blank"">76070831 </a>";Kein RfC;U_GENASSCR (9434);Ja;Ja;Ja;Ja;"<a href=""javascript:apex.theme42.dialog('\u002Fords\u002Fr\u002Fcmdb\u002Fpmone\u002Fhistorie?p18_id=1392120\u0026session=14068159173354\u0026cs=3s5EioU3DBmh_1I-qzNiQK0qK9YpsAOIhtMU0dpPZQ5VWwKFdZNfWHuLpffVVcYKN9cxISpAMFu_aMSHgdHGx1Q\u0026dialogCs=gLb97jFq4Asj5UZI3-lY8CwCesHQyB-RWhjJV1aqnI41RNPh7ROQpDtu1bGF5RlXXqR-mb-aBweJtBgnvQF8gw',{title:'Historie',h:'auto',w:'720',mxw:'960',modal:true,dialog:null,dlgCls:'t-Dialog-page--standard '+''},'','#R1_PRODUCTS')""><i class=""fa fa-archive""></i></a>";03.03.2026 04:40
ORBIS;ORBIS U OP Fallwagen Schnittstelle;Technische Komponente;;U Surgery;Fallwagenschnittstelle (CASECART) ORBIS OP &OP-Planung;Ja;orbis-4u/ CustInst.: Nein<br>u-surgery/ CustInst.: Nein;docker-compose-surgery.yml;u-surgery/ CustInst.: Nein;Nein;;Nein;Nein;;;Maike Heinisch, Jan Schottler;Nein;;;;CASECART: Case Cart Interface (6317);Ja;Ja;;Ja;"<a href=""javascript:apex.theme42.dialog('\u002Fords\u002Fr\u002Fcmdb\u002Fpmone\u002Fhistorie?p18_id=1132334\u0026session=14068159173354\u0026cs=32GMHGlXEHVcTPlG8MvgVKeCy0wQv1TkwgoOKrUVmOh5vNKks0PJ9tIoELH1eTBg0QjG_o1iRgyxOzN0C8S2HqA\u0026dialogCs=gLb97jFq4Asj5UZI3-lY8CwCesHQyB-RWhjJV1aqnI41RNPh7ROQpDtu1bGF5RlXXqR-mb-aBweJtBgnvQF8gw',{title:'Historie',h:'auto',w:'720',mxw:'960',modal:true,dialog:null,dlgCls:'t-Dialog-page--standard '+''},'','#R1_PRODUCTS')""><i class=""fa fa-archive""></i></a>";24.02.2026 16:08
ORBIS;ORBIS Buddy;;;ORBIS Buddy / Chatbot;"ORBIS U integrierten Chatbot
-OpenEvidence(englisch) – mit Angabe der Referenzen
-eRef AI Assistent (KI/Wissensportal von Thieme)
-clinical Key AI (KI/Wissensportal von Elsevir)";Ja;;;;Nein;;Nein;Nein;Verbindung in die Thieme Cloud / Elsevier Cloud vom ORBIS U Server aus -> zu klären!!!;;"Mariia Gonta; Hans Thumeyer; Amon Bathia";Nein;;;;;Nein;Nein;;;"<a href=""javascript:apex.theme42.dialog('\u002Fords\u002Fr\u002Fcmdb\u002Fpmone\u002Fhistorie?p18_id=1564879\u0026session=14068159173354\u0026cs=3FhP9KalvUW0HCQ52UxdgB2exE5tfoFCbwUuHm1IhWKqmRBdJOI7C9iPXARAV6h2HsxyVXu6CXRxvSGXh4BvxpQ\u0026dialogCs=gLb97jFq4Asj5UZI3-lY8CwCesHQyB-RWhjJV1aqnI41RNPh7ROQpDtu1bGF5RlXXqR-mb-aBweJtBgnvQF8gw',{title:'Historie',h:'auto',w:'720',mxw:'960',modal:true,dialog:null,dlgCls:'t-Dialog-page--standard '+''},'','#R1_PRODUCTS')""><i class=""fa fa-archive""></i></a>";29.01.2026 15:18
ORBIS;ORBIS U Abrechnungsliste;Billing;;;Die ORBIS U Abrechnungsliste dient dazu, sämtliche abrechenbaren Fälle zu finden und zur Einzel- oder Stapelabrechnung vorzubereiten;Ja;billing/ CustInst.: Nein;;;Nein;;Nein;Nein;"erste U App für Abrechnung, 
Nachfolger der NICE Abrechnungsliste";;Heiko Braun;Nein;;;;U_BILLING (60332), aktuell nicht geprüft;Nein;Nein;;Nein;;23.02.2026 17:57
ORBIS;Kubernetes;Technische Komponente;;;Dedalus setzt bei der Implementierung von ORBIS U auf Kubernetes – eine Open-Source-Technologie zur Organisation und Orchestrierung von Containern, also virtualisierten Applikationen. So lassen sich Betrieb, Monitoring und Updates nach einheitlichen Prinzipien gestalten.;Ja;;;;Nein;;Nein;Nein;Keine Docker-Container Installation;;Markus Probst (R&D Rene Richter);Nein;;In Erstellung;;Vertriebslizenz für 0€, keine technische Lizenz, nur DL;Ja;Ja;In Erstellung;Ja;"<a href=""javascript:apex.theme42.dialog('\u002Fords\u002Fr\u002Fcmdb\u002Fpmone\u002Fhistorie?p18_id=1881006\u0026session=14068159173354\u0026cs=3Qb2XXzpxYofxCeByWGmNvtUcdb-RHbE94tqT1cjarmCdH04Y6wd81a0wp2t4zXRRnCV31TfdnnYTKTnxJbqitg\u0026dialogCs=gLb97jFq4Asj5UZI3-lY8CwCesHQyB-RWhjJV1aqnI41RNPh7ROQpDtu1bGF5RlXXqR-mb-aBweJtBgnvQF8gw',{title:'Historie',h:'auto',w:'720',mxw:'960',modal:true,dialog:null,dlgCls:'t-Dialog-page--standard '+''},'','#R1_PRODUCTS')""><i class=""fa fa-archive""></i></a>";03.03.2026 03:50
